学校	がっこう	Noun:|1. school||Wikipedia definition:|2. School
男	おとこ	Noun, Noun - used as a prefix:|1. man; male||Noun:|2. fellow; guy; chap; bloke|3. male lover; boyfriend; man|4. manliness; manly honor; manly honour; manly reputation
犬	いぬ	Noun:|1. dog (Canis (lupus) familiaris)|2. snoop (i.e. a detective, a spy, etc.)|3. loser; asshole (Derogatory)||Noun - used as a prefix:|4. counterfeit; inferior; useless; wasteful
使う	つかう	Godan verb with u ending, Transitive verb:|1. to use (a thing, method, etc.); to make use of; to put to use|2. to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate|3. to use (time, money, etc.); to spend; to consume|4. to use (language); to speak
大変	たいへん	Adverb:|1. very; greatly; terribly; awfully||Na-adjective, Noun:|2. immense; enormous; great|3. serious; grave; dreadful; terrible|4. difficult; hard||Noun:|5. major incident; disaster (Archaism)
待つ	まつ	Godan verb with tsu ending, Transitive verb, intransitive verb:|1. to wait|2. to await; to look forward to; to anticipate|3. to depend on; to need (usu. in negative form)
作る	つくる	Godan verb with ru ending, Transitive verb:|1. to make; to produce; to manufacture; to build; to construct (造る usu. for large-scale building, manufacturing, etc.; 創る usu. for creating)|2. to prepare (food); to brew (alcohol)|3. to raise; to grow; to cultivate; to train|4. to till|5. to draw up (a document); to make out; to prepare; to write|6. to create (an artistic work, etc.); to compose|7. to coin (a phrase); to organize; to organise; to establish; to found|8. to have (a child)|9. to make up (one's face, etc.)|10. to fabricate (an excuse, etc.)|11. to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion|12. to form (a line, etc.)|13. to set (a record)|14. to commit (a sin, etc.)
後ろ	うしろ	Noun, No-adjective:|1. back; behind; rear
町	まち	Noun:|1. town; block; neighbourhood; neighborhood|2. street; road|3. 109.09 m|4. 0.99 hectares|5. downtown; main street
駅	えき	Noun:|1. railway station; train station|2. staging post on a highway (in pre-modern Japan)
少し	すこし	Adverb, Noun:|1. small quantity; little; few; something|2. little while|3. short distance
あなた	Pronoun:|1. you (referring to someone of equal or lower status) (Usually written using kana alone, Polite (teineigo)) (貴女 refers only to females and 貴男 refers only to males)|2. dear (what a wife calls a husband)
欲しい	ほしい	I-adjective:|1. wanted; wished for; in need of; desired||Auxiliary adjective:|2. I want (you) to (Usually written using kana alone) (after the -te form of a verb)
行く	いく	Godan verb - Iku/Yuku special class, intransitive verb:|1. to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach|2. to proceed; to take place (い sometimes omitted in auxiliary use)|3. to pass through; to come and go|4. to walk|5. to die; to pass away|6. to do (in a specific way)|7. to stream; to flow||Auxiliary verb:|8. to continue||Godan verb - Iku/Yuku special class, intransitive verb:|9. to have an orgasm; to come; to cum (Usually written using kana alone)|10. to trip; to get high; to have a drug-induced hallucination (Usually written using kana alone, Slang)
乗る	のる	Godan verb with ru ending, intransitive verb:|1. to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark|2. to get on (e.g. a footstool); to step on; to jump on; to sit on; to mount|3. to reach; to go over; to pass|4. to follow; to stay (on track); to go with (the times, etc.)|5. to take part; to participate; to join|6. to get into the swing (and sing, dance, etc.)|7. to be deceived; to be taken in|8. to be carried; to be spread; to be scattered (usu. with an adverb of manner, e.g. よく乗る)|9. to stick; to attach; to take; to go on (usu. with an adverb of manner, e.g. よく乗る)
大きな	おおきな	Pre-noun adjectival:|1. big; large; great
医者	いしゃ	Noun:|1. (medical) doctor; physician (お医者さん is polite)
終わる	おわる	Godan verb with ru ending, intransitive verb, Auxiliary verb:|1. to finish; to end; to close (also written 了る, 卒る, etc.)
学生	がくせい	Noun:|1. student (esp. a university student)
長い	ながい	I-adjective:|1. long (distance)|2. long (time); lengthy
どの	Pre-noun adjectival:|1. which; what (way) (Usually written using kana alone)
国	くに	Noun:|1. country; state|2. region|3. national government; central government|4. home (i.e. hometown, home country)|5. province (of Japan) (Archaism)|6. land; earth (Archaism)
また	Adverb, Conjunction, Prefix:|1. again; and; also; still (doing something) (Usually written using kana alone)
高い	たかい	I-adjective:|1. high; tall|2. expensive; high-priced|3. high (level); above average (in degree, quality, etc.)|4. loud|5. high-pitched; shrill
あまり	Noun, No-adjective:|1. remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers (Usually written using kana alone)||Adverb:|2. not very; not much (Usually written using kana alone) (with neg. sentence)|3. too much; excessively; overly (Usually written using kana alone) (esp. as あまりに(も))||Na-adjective, No-adjective:|4. extreme; great; severe; tremendous; terrible||Noun - used as a suffix:|5. more than; over
難しい	むずかしい	I-adjective:|1. difficult; hard; troublesome; complicated; serious (disease, problem, etc.)|2. fussy; particular; fastidious; hard to please; displeased|3. gloomy; glum; sullen; serious (look)|4. dirty; unclean; filthy; detestable (Archaism)|5. unpleasant; uncomfortable; creepy; spooky (Archaism)
友達	ともだち	Noun:|1. friend; companion
本当	ほんとう	No-adjective, Na-adjective, Adverb, Noun:|1. truth; reality; actuality; fact||No-adjective, Na-adjective, Adverb:|2. proper; right; correct; official|3. genuine; authentic; natural; veritable
一つ	ひとつ	Numeric:|1. one||Noun:|2. for one thing (often used in itemized lists)|3. only (after a noun)|4. (not) even (with a verb in negative form)||Adverbial noun:|5. just (e.g. "just try it")
寝る	ねる	Ichidan verb, intransitive verb:|1. to lie down|2. to go to bed; to lie in bed|3. to sleep (lying down)|4. to sleep (with someone, i.e. have intercourse)|5. to lie idle
生徒	せいと	Noun:|1. pupil; student; schoolchild
忙しい	いそがしい	I-adjective:|1. busy; occupied; hectic|2. restless; hurried; fidgety
両親	りょうしん	Noun:|1. parents; both parents
泳ぐ	およぐ	Godan verb with gu ending, intransitive verb:|1. to swim
立つ	たつ	Godan verb with tsu ending, intransitive verb:|1. to stand; to rise; to stand up|2. to find oneself (e.g. in a difficult position)|3. to depart (on a plane, train, etc.) (usu. 発つ)
出す	だす	Godan verb with su ending, Transitive verb:|1. to take out; to get out|2. to put out; to reveal; to show|3. to submit (e.g. thesis); to turn in|4. to publish; to make public|5. to send (e.g. letter)|6. to produce (a sound); to start (fire)|7. to serve (food)||Suffix, Godan verb with su ending:|8. to begin ...; to start to ...; to burst into ... (after the -masu stem of a verb)
早い	はやい	I-adjective:|1. fast; quick; hasty; brisk (esp. 速い, 疾い, 捷い)|2. early (in the day, etc.); premature (esp. 早い)|3. (too) soon; not yet; (too) early (esp. 早い)|4. easy; simple; quick (esp. 早い)
楽しい	たのしい	I-adjective:|1. enjoyable; fun; pleasant; happy; delightful
面白い	おもしろい	I-adjective:|1. interesting; fascinating; intriguing; enthralling|2. amusing; funny; comical|3. pleasant; enjoyable; agreeable; fun
絵	え	Noun, Noun - used as a suffix:|1. picture; drawing; painting; sketch
女の子	おんなのこ	Expression, Noun:|1. girl; daughter|2. young woman
着る	きる	Ichidan verb, Transitive verb:|1. to wear (in modern Japanese, from the shoulders down); to put on|2. to bear (guilt, etc.)
上手	じょうず	Na-adjective, Noun:|1. skillful; skilled; proficient; good (at); adept; clever||Noun:|2. flattery
古い	ふるい	I-adjective:|1. old; aged; ancient; antiquated; antique; timeworn (of things, not people)|2. long; since long ago; time-honored|3. of the distant past; long-ago|4. stale; threadbare; hackneyed; corny|5. old-fashioned; outmoded; out-of-date
強い	つよい	I-adjective:|1. strong; potent; competent; domineering; tough|2. strong; brawny; powerful; healthy; rugged|3. good (at); skilled; knowledgeable|4. being able to handle; know how to deal (with); durable (against); resistant (to); resilient (as 〜に強い)|5. firm; rigid; solid|6. intense; strong; fierce; high|7. dependable; trustworthy
全部	ぜんぶ	Adverbial noun, Temporal noun, No-adjective:|1. all; entire; whole; altogether
呼ぶ	よぶ	Godan verb with bu ending, Transitive verb:|1. to call out (to); to call; to invoke|2. to summon (a doctor, etc.)|3. to invite|4. to designate; to name; to brand|5. to garner (support, etc.); to gather|6. to take as one's wife (Archaism)
午後	ごご	Adverbial noun, Temporal noun:|1. afternoon; p.m.
かける	Ichidan verb, Transitive verb:|1. to hang up (e.g. a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag) (Usually written using kana alone)|2. to put on (e.g. a blanket); to put on top of; to cover (Usually written using kana alone)|3. to put on (glasses, etc.); to wear (a necklace, etc.) (Usually written using kana alone)|4. to make (a call) (Usually written using kana alone)|5. to spend (time, money); to expend; to use (Usually written using kana alone)|6. to pour (liquid) onto; to sprinkle (powder or spices) onto; to splash; to throw (e.g. water) onto somebody (Usually written using kana alone)|7. to turn on (an engine, radio, etc.); to set (a dial, an alarm clock, etc.); to put on (a DVD, a song, etc.) (Usually written using kana alone)|8. to cause (somebody inconvenience, trouble, etc.); to burden (someone); to impose (Usually written using kana alone)|9. to multiply (arithmetic operation) (Usually written using kana alone)|10. to secure (e.g. lock) (Usually written using kana alone)|11. to take a seat; to sit; to rest (something on something else); to support (something on something else) (Usually written using kana alone)|12. to bind (Usually written using kana alone) (also 繋ける)|13. to wager; to bet; to risk; to stake; to gamble (Usually written using kana alone)|14. to put an effect (spell, anaesthetic, etc.) on (Usually written using kana alone)|15. to hold (a play, festival, etc.) (Usually written using kana alone)|16. to hold an emotion for (pity, hope, etc.) (Usually written using kana alone)|17. to argue (in court); to deliberate (in a meeting); to present (e.g. idea to a conference, etc.) (Usually written using kana alone)|18. to increase further (Usually written using kana alone)|19. to catch (in a trap, etc.) (Usually written using kana alone)|20. to set atop (Usually written using kana alone)|21. to erect (a makeshift building) (Usually written using kana alone)|22. to apply (insurance) (Usually written using kana alone)|23. to pun (on a word); to use (a word) as a pivot word; to play on words (Usually written using kana alone)||Suffix, Ichidan verb:|24. to be partway doing ...; to begin (but not complete) ...; to be about to ... (Usually written using kana alone) (after -masu stem of verb)|25. to address (someone); to direct (something, to someone); to do (something, to someone) (Usually written using kana alone) (after -masu stem of verb; indicates (verb) is being directed to someone)
辞書	じしょ	Noun:|1. dictionary; lexicon|2. letter of resignation (Archaism)
天気	てんき	Noun:|1. weather; the elements|2. fair weather; fine weather
体	からだ	Noun, No-adjective:|1. body (からだ is a gikun reading of 身体)||Noun:|2. torso; trunk|3. build; physique; constitution||Noun, No-adjective:|4. health||Noun:|5. corpse; dead body
大きい	おおきい	I-adjective:|1. big; large; great|2. loud|3. extensive; spacious|4. important; decisive; valuable|5. older; grown up
夕べ	ゆうべ	Adverbial noun, Temporal noun:|1. evening|2. last night; yesterday evening (usu. 昨夜)
質問	しつもん	Noun, Suru verb, No-adjective:|1. question; inquiry; enquiry
有名	ゆうめい	Na-adjective:|1. famous||Noun:|2. fame
兄	あに	Noun:|1. elder brother; older brother (Humble (kenjougo))
歌う	うたう	Godan verb with u ending, Transitive verb, intransitive verb:|1. to sing||Godan verb with u ending, Transitive verb:|2. to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem (esp. 歌う, 詠う)
上る	のぼる	Godan verb with ru ending, intransitive verb:|1. to ascend; to go up; to climb|2. to ascend (as a natural process, e.g. the sun); to rise (usu. 昇る)|3. to go to (the capital)|4. to be promoted|5. to add up to|6. to advance (in price)|7. to swim up (a river); to sail up|8. to come up (on the agenda)
服	ふく	Noun, Noun - used as a suffix:|1. clothes (esp. Western clothes)||Suffix, Counter:|2. counter for doses of medicine, gulps of tea, drags of a cigarette, etc.
鳥	とり	Noun:|1. bird|2. bird meat (esp. chicken meat); fowl; poultry
時々	ときどき	Adverb, Noun, No-adjective:|1. sometimes; at times
妹	いもうと	Noun:|1. younger sister (Humble (kenjougo))
二つ	ふたつ	Numeric:|1. two
頼む	たのむ	Godan verb with mu ending, Transitive verb:|1. to request; to beg; to ask|2. to call; to order; to reserve|3. to entrust to|4. to rely on (esp. 恃む)
お父さん	おとうさん	Noun:|1. father; dad; papa; pa; pop; daddy; dada (Honorific or respectful (sonkeigo))|2. husband (Honorific or respectful (sonkeigo))
今朝	けさ	Temporal noun:|1. this morning
遅い	おそい	I-adjective:|1. slow; time-consuming; sluggish|2. late (in the day); towards the end (of the day or night); until a time far into the day or night|3. later (than expected or usual); late; behind schedule; behind time; tardy; overdue; unpunctual|4. too late; having missed the boat|5. dull; stupid (Archaism)
薬	くすり	Noun:|1. medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve|2. efficacious chemical (gunpowder, pesticide, etc.)|3. (pottery) glaze|4. small bribe
借りる	かりる	Ichidan verb, Transitive verb:|1. to borrow; to have a loan|2. to rent; to hire
庭	にわ	Noun:|1. garden; yard; courtyard|2. field (of action); area
外国	がいこく	Noun, No-adjective:|1. foreign country
小さい	ちいさい	I-adjective:|1. small; little; tiny|2. slight; below average (in degree, amount, etc.); minor; small|3. low (e.g. sound); soft (e.g. voice)|4. unimportant; petty; insignificant; trifling; trivial|5. young; juvenile
元気	げんき	Na-adjective, Noun:|1. lively; full of spirit; energetic; vigorous; vital; spirited|2. healthy; well; fit; in good health
弟	おとうと	Noun:|1. younger brother; little brother; kid brother (Humble (kenjougo))|2. pupil; apprentice (Archaism)
今年	ことし	Adverbial noun, Temporal noun:|1. this year
魚	さかな	Noun:|1. fish
お母さん	おかあさん	Noun:|1. mother; mom; mum; ma (Honorific or respectful (sonkeigo))|2. wife (Honorific or respectful (sonkeigo))
男の子	おとこのこ	Expression, Noun:|1. boy; male child; baby boy
飛ぶ	とぶ	Godan verb with bu ending, intransitive verb:|1. to fly; to soar (esp. 飛ぶ)|2. to jump; to leap; to spring; to bound; to hop (esp. 跳ぶ)
売る	うる	Godan verb with ru ending, Transitive verb:|1. to sell
静か	しずか	Na-adjective:|1. quiet; silent|2. slow; unhurried|3. calm; peaceful
休む	やすむ	Godan verb with mu ending, intransitive verb:|1. to be absent; to take a day off|2. to rest; to have a break|3. to go to bed; to (lie down to) sleep; to turn in; to retire|4. to stop doing some ongoing activity for a time; to suspend business
食べ物	たべもの	Noun:|1. food
大切	たいせつ	Na-adjective, Noun:|1. important; necessary; indispensable|2. beloved; precious; dear; cherished; valuable|3. careful (usu. adverb, as ～に)
警官	けいかん	Noun:|1. police officer; policeman; constable
来週	らいしゅう	Adverbial noun, Temporal noun:|1. next week
建物	たてもの	Noun:|1. building
暖かい	あたたかい	I-adjective:|1. warm; mild; (pleasantly) hot (暖かい usu. refers to air temperature)|2. considerate; kind; genial|3. warm (of a colour); mellow|4. having enough money
降りる	おりる	Ichidan verb, intransitive verb:|1. to descend (e.g. a mountain); to go down; to come down (esp. 下りる)|2. to alight (e.g. from bus); to get off; to disembark; to dismount (esp. 降りる)|3. to step down; to retire; to give up; to quit|4. to be granted; to be issued; to be given (esp. 下りる)|5. to form (of frost, dew, mist, etc.) (esp. 降りる)|6. to be passed (from the body; e.g. of a roundworm) (esp. 下りる)
止まる	とまる	Godan verb with ru ending, intransitive verb:|1. to stop (moving); to come to a stop|2. to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended|3. to alight; to perch on
一緒	いっしょ	Adverbial noun, Noun, No-adjective:|1. together|2. at the same time|3. same; identical
先週	せんしゅう	Adverbial noun, Temporal noun:|1. last week; the week before
白い	しろい	I-adjective:|1. white
少ない	すくない	I-adjective:|1. few; a little; scarce; insufficient; seldom
二	に	Numeric:|1. two (ふ and ふう used mainly when counting aloud. 弐, 貳 and 貮 are used in legal documents.)
赤い	あかい	I-adjective:|1. red; crimson; scarlet; vermilion; vermillion (紅い is esp. for scarlet)|2. Red; communist|3. beautiful (Archaism)
洗う	あらう	Godan verb with u ending, Transitive verb:|1. to wash; to cleanse; to rinse|2. to inquire into; to investigate|3. to purify (one's heart)|4. to lave (e.g. shore); to wash over (e.g. deck); to sweep
嫌い	きらい	Na-adjective, Noun:|1. disliked; hated; disagreeable||Noun:|2. tendency; smack (of); touch (of) (Usually written using kana alone)|3. distinction; discrimination (Usually written using kana alone)
立派	りっぱ	Na-adjective:|1. splendid; fine; handsome; elegant; imposing; prominent|2. praiseworthy; creditable; worthy|3. legal; legitimate; lawful|4. undeniable (e.g. crime); indisputable; solid
暇	ひま	Na-adjective, Noun:|1. spare time; free time; leisure||Noun:|2. time (e.g. time it takes to do something)||Na-adjective, Noun:|3. time off; day off; vacation; holiday; leave|4. quitting (one's job); firing someone; divorcing (one's spouse)||Na-adjective:|5. (of one's time) free; (of one's business) slow||Noun:|6. leaving; departing
お茶	おちゃ	Noun:|1. tea (usu. green) (Polite (teineigo))|2. tea break (at work)|3. tea ceremony
広い	ひろい	I-adjective:|1. spacious; vast; wide
去年	きょねん	Adverbial noun, Temporal noun:|1. last year
大好き	だいすき	Na-adjective:|1. loveable; very likeable; like very much
隣	となり	Noun, No-adjective:|1. neighbor (neighbour); next to (esp. living next door to)
女	おんな	Noun, Noun - used as a prefix:|1. female; woman; female sex (can be blunt when used alone)||Noun:|2. female lover; girlfriend; mistress; (someone's) woman
切る	きる	Godan verb with ru ending, Transitive verb:|1. to cut; to cut through; to perform (surgery)|2. to sever (connections, ties)|3. to turn off (e.g. the light)|4. to terminate (e.g. a conversation); to hang up (the phone); to disconnect|5. to punch (a ticket); to tear off (a stub)|6. to open (something sealed)|7. to start|8. to set (a limit); to do (something) in less or within a certain time; to issue (stamps, vouchers, etc.)|9. to reduce; to decrease; to discount|10. to shake off (water, etc.); to let drip-dry; to let drain|11. to cross; to traverse|12. to criticize sharply|13. to act decisively; to do (something noticeable); to go first; to make (certain facial expressions, in kabuki)|14. to turn (vehicle, steering wheel, etc.)|15. to curl (a ball); to bend; to cut|16. to shuffle (cards)|17. to discard a tile (Mahjong term)|18. to dismiss; to sack; to let go; to expulse; to excommunicate|19. to dig (a groove); to cut (a stencil, on a mimeograph)|20. to trump|21. to cut (the connection between two groups) (in go)|22. to start a fire (with wood-wood friction or by striking a metal against stone) (also written as 鑽る)|23. to draw (a shape) in the air (with a sword, etc.)||Auxiliary verb, Godan verb with ru ending:|24. to finish; to complete (after the -masu stem of a verb)
多分	たぶん	Adverb:|1. perhaps; probably||Na-adjective, No-adjective:|2. generous; many; much; great
毎朝	まいあさ	Adverbial noun, Temporal noun:|1. every morning
嫌	いや	Na-adjective, Noun:|1. disagreeable; detestable; unpleasant; reluctant
荷物	にもつ	Noun:|1. luggage; baggage; package|2. burden|3. payload (of a packet, cell, etc.)
番号	ばんごう	Noun:|1. number; series of digits
返す	かえす	Godan verb with su ending, Transitive verb:|1. to return (something); to restore; to put back (esp. 返す)|2. to turn over; to turn upside down; to overturn|3. to pay back; to retaliate; to reciprocate (esp. 返す)||Suffix, Godan verb with su ending:|4. to repeat ...; to do ... back (after the -masu stem of a verb)
来年	らいねん	Adverbial noun, Temporal noun:|1. next year
明るい	あかるい	I-adjective:|1. light; well-lit; well-lighted|2. bright (of a colour); brightly-coloured; brightly-colored|3. cheerful; bright; spirited; sunny (e.g. disposition)|4. encouraging (for the future of a project, etc.); promising; of fair prospects|5. familiar (with); knowledgeable (about); well versed (in) (as 〜に明るい)|6. fair (e.g. politics); clean; impartial
近い	ちかい	I-adjective:|1. near; close; short (distance)|2. close (in time); soon|3. close (relationship); friendly; intimate|4. closely related|5. similar; likeworthy; almost the same
向こう	むこう	Noun:|1. opposite side; other side; opposite direction|2. over there; that way; far away; beyond|3. the other party; the other person|4. future (starting now)
始め	はじめ	Temporal noun, Adverbial noun:|1. beginning; start; outset; opening||Noun:|2. first (in line, etc.) (esp. 初め)|3. origin (esp. 始め)|4. such as ...; not to mention ... (Usually written using kana alone) (esp. 始め; as 〜を始め, 〜を始めとして, etc.)
痛い	いたい	I-adjective:|1. painful; sore|2. cringy; embarrassing (Colloquialism)||I-adjective, Suffix:|3. exceeding (esp. 甚い)
休み	やすみ	Noun:|1. rest; recess; respite|2. vacation; holiday; absence; suspension|3. dormancy (of a silkworm prior to moulting)
十	じゅう	Numeric:|1. ten (拾 is used in legal documents)
練習	れんしゅう	Noun, Suru verb:|1. practice; practising
先月	せんげつ	Adverbial noun, Temporal noun:|1. last month
上着	うわぎ	Noun:|1. coat; tunic; jacket; outer garment
結構	けっこう	Na-adjective, Adverbial noun, Noun:|1. splendid; nice; wonderful; delicious; sweet||Na-adjective:|2. sufficient; fine (in the sense of "I'm fine"); (by implication) no thank you|3. well enough; OK; tolerable||Adverb:|4. quite; reasonably; fairly; tolerably||Noun:|5. construction; architecture (Archaism)
毎年	まいとし	Temporal noun:|1. every year; yearly; annually
兄弟	きょうだい	Noun:|1. siblings; brothers and sisters|2. brothers|3. siblings-in-law; brothers-in-law; sisters-in-law|4. mate; friend (Familiar language, Male term or language)
来月	らいげつ	Adverbial noun, Temporal noun:|1. next month
五	ご	Numeric:|1. five (伍 is used in legal documents)
飲み物	のみもの	Noun:|1. drink; beverage
牛乳	ぎゅうにゅう	Noun:|1. (cow's) milk
弱い	よわい	I-adjective:|1. weak; frail; delicate; tender; unskilled; weak (wine)
三	さん	Numeric:|1. three (参 is used in legal documents)||Prefix:|2. tri-
大丈夫	だいじょうぶ	Na-adjective:|1. safe; secure; sound; problem-free; without fear; all right; alright; OK; okay||Adverb:|2. certainly; surely; undoubtedly||Na-adjective:|3. no thanks; I'm good; that's alright (Colloquialism)||Noun:|4. great man; fine figure of a man (Archaism)
黒い	くろい	I-adjective:|1. black|2. dark; blackish; sun-tanned (skin)|3. suspicious; criminal; illicit|4. darkened and dirty; sooty; covered in dirt|5. evil; wicked; black-hearted|6. inauspicious; ill-boding; unlucky
皆さん	みなさん	Noun:|1. all; everyone; everybody (Honorific or respectful (sonkeigo))
半分	はんぶん	Adverbial noun, Noun:|1. half
押す	おす	Godan verb with su ending, Transitive verb:|1. to push; to press|2. to apply pressure from above; to press down|3. to stamp (i.e. a passport); to apply a seal|4. to affix (e.g. gold leaf)|5. to press (someone for something); to urge; to compel; to influence|6. to overwhelm; to overpower; to repress|7. to push (events along); to advance (a plan)|8. to do in spite of ...; to do even though ...; to force|9. to make sure|10. to be pressed for time|11. to advance troops; to attack|12. (of light) to be diffused across an entire surface
勤める	つとめる	Ichidan verb, Transitive verb:|1. to work (for); to be employed (at); to serve (in) (usu. 勤める)|2. to serve (as); to act (as); to fill (the position of); to play the role (of) (usu. 務める)|3. to conduct a religious service (usu. 勤める)
熱い	あつい	I-adjective:|1. hot (thing)|2. passionate (feelings, etc.); ardent; hot (e.g. gaze)|3. hot (e.g. temper)|4. zealous; enthusiastic; fired up|5. intense; severe; extreme|6. hot (topic); of interest
三つ	みっつ	Numeric:|1. three
果物	くだもの	Noun:|1. fruit
今週	こんしゅう	Adverbial noun, Temporal noun:|1. this week
甘い	あまい	I-adjective:|1. sweet-tasting; sweet; sugary; sugared|2. fragrant (smelling); sweet (music)|3. lightly salted; light in salt; not spicy|4. naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient|5. half-hearted; not finished properly|6. insufficient; not satisfactory; inadequate; loose|7. mild|8. tempting; enticing; luring
右	みぎ	Noun:|1. right; right hand side|2. afore-mentioned (esp. in vertical Japanese writing); foregoing; forgoing; above
晩	ばん	Adverbial noun, Temporal noun:|1. evening||Counter:|2. counter for nights
階段	かいだん	Noun:|1. stairs; stairway; staircase
いくつ	Adverb:|1. how many? (Usually written using kana alone)|2. how old?
大勢	おおぜい	Noun, No-adjective:|1. crowd of people; great number of people||Adverbial noun:|2. in great numbers
張る	はる	Godan verb with ru ending, Transitive verb:|1. to stick; to paste; to affix (esp. 貼る)||Godan verb with ru ending, intransitive verb, Transitive verb:|2. to stretch; to spread; to strain; to tighten; to put up (tent)||Godan verb with ru ending, intransitive verb:|3. to form (e.g. ice on a pond)||Godan verb with ru ending, intransitive verb, Transitive verb:|4. to fill; to swell||Godan verb with ru ending, Transitive verb:|5. to stick out; to put; to slap||Godan verb with ru ending, intransitive verb:|6. to be expensive||Godan verb with ru ending, Transitive verb:|7. to keep a watch on; to be on the lookout||Godan verb with ru ending, intransitive verb:|8. to become one tile away from completion (Mahjong term)||Godan verb with ru ending, Transitive verb:|9. to span; to generate (Mathematics)
夕方	ゆうがた	Adverbial noun, Temporal noun:|1. evening; dusk
低い	ひくい	I-adjective:|1. low (rank, degree, value, content, quality, etc.)|2. low (position); close to the ground|3. short (height)|4. deep (voice); in a low key; low (volume)
左	ひだり	Noun, No-adjective:|1. left; left hand side
毎週	まいしゅう	Adverbial noun, Temporal noun:|1. every week
下手	へた	Na-adjective, Noun:|1. unskillful; poor; awkward|2. imprudent; untactful
千	せん	Numeric:|1. 1,000; thousand (阡 and 仟 are used in legal documents)
渡す	わたす	Godan verb with su ending, Transitive verb:|1. to ferry across (e.g. a river); to carry across; to traverse|2. to lay across; to build across|3. to hand over; to hand in; to pass; to give; to transfer
午前	ごぜん	Adverbial noun, Temporal noun:|1. morning; a.m.
便利	べんり	Na-adjective:|1. convenient; handy; useful
丸い	まるい	I-adjective:|1. round; circular; spherical (丸い usu. refers to ball-shaped, and 円い to disc-shaped objects)|2. harmonious; calm
今月	こんげつ	Adverbial noun, Temporal noun:|1. this month
浴びる	あびる	Ichidan verb, Transitive verb:|1. to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in|2. to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with
半	はん	Noun, Noun - used as a prefix:|1. half; semi-||Noun, Noun - used as a suffix:|2. half-past||Noun:|3. odd number|4. unit of land area (595.8 m^2) (Archaism)
洋服	ようふく	Noun:|1. Western-style clothes (cf. traditional Japanese clothes)
撮る	とる	Godan verb with ru ending, Transitive verb:|1. to take (a photo) (esp. 撮る)|2. to record (video, audio, etc.); to make (a film) (esp. 録る)
締める	しめる	Ichidan verb, Transitive verb:|1. to tie; to fasten; to tighten|2. to wear (necktie, belt); to put on|3. to total; to sum|4. to be strict with|5. to economize; to economise; to cut down on|6. to salt; to marinate; to pickle; to make sushi adding a mixture of vinegar and salt
文章	ぶんしょう	Noun:|1. writing; composition; essay; article; prose; (writing) style|2. sentence
薄い	うすい	I-adjective:|1. thin (in ref. to objects, not to people)|2. pale; light; faint|3. watery; thin; dilute|4. weak (taste, etc.); little (affection, etc.) not much (of a presence)|5. slim (probability, etc.); small|6. sparse; patchy; scattered
八	はち	Numeric:|1. eight (捌 is used in legal documents)
横	よこ	Noun:|1. horizontal (as opposed to vertical); lying down|2. side-to-side (as opposed to front-to-back); width; breadth|3. side (of a box, etc.)|4. beside; aside; next to|5. unconnected
六	ろく	Numeric:|1. six (陸 is used in legal documents)
四つ	よっつ	Numeric:|1. four||Noun:|2. four years of age|3. ten o'clock (old time system)|4. cross grips (Sumo term)
丈夫	じょうぶ	Na-adjective:|1. healthy; robust; strong; solid; durable (sometimes じょうふ)
毎晩	まいばん	Adverbial noun, Temporal noun:|1. every night
東	ひがし	Noun:|1. east
晴れ	はれ	Noun, No-adjective:|1. clear weather; fine weather||No-adjective, Noun:|2. formal; ceremonial; public|3. cleared of suspicion
五つ	いつつ	Numeric:|1. five
細い	ほそい	I-adjective:|1. thin; slender; fine|2. unlucky (billiards slang) (Slang)
廊下	ろうか	Noun:|1. corridor; hallway; passageway
太い	ふとい	I-adjective:|1. fat; thick|2. deep (of a voice); thick; sonorous|3. daring; shameless; brazen; audacious
縦	たて	Noun:|1. the vertical; height|2. front-to-back; length|3. north-to-south||Noun, No-adjective:|4. vertical (relationship); hierarchy||Noun:|5. (weaving) warp
留学生	りゅうがくせい	Noun:|1. overseas student; exchange student
九つ	ここのつ	Numeric:|1. nine
七つ	ななつ	Numeric:|1. seven
一昨年	いっさくねん	Adverbial noun, Temporal noun:|1. year before last
人	ひと	Noun:|1. man; person|2. human being; mankind; people|3. human (Homo sapiens); humans as a species (Usually written using kana alone)|4. character; personality|5. man of talent; true man|6. another person; other people; others|7. adult
いる	Ichidan verb, intransitive verb:|1. to be (of animate objects); to exist (Usually written using kana alone)|2. to stay (Usually written using kana alone)||Ichidan verb, Auxiliary verb:|3. to be ...-ing; to have been ...-ing (Usually written using kana alone) (after the -te form of a verb; indicates continuing action or state)
